sector_operacion,nivel_riesgo,tiempo_experiencia,horas_jornada,condicion_laboral,turno,clima_extremo,uso_epp,incidente_prev,grado_accidente
1,4,20,12,2,1,0,0,2,0
1,7,3,8,1,0,1,0,2,0
1,3,13,12,3,1,1,1,2,0
1,5,4,7,2,1,1,1,0,1
3,8,3,7,3,0,1,1,1,0
4,4,10,11,2,1,1,0,1,1
4,6,23,7,1,1,1,1,2,0
1,5,2,7,3,1,1,1,2,0
4,1,1,7,2,1,0,0,2,1
4,9,15,12,2,1,0,1,2,0
4,1,6,10,3,1,0,0,2,0
1,3,10,8,3,0,0,1,2,0
4,2,18,12,3,0,1,0,1,0
2,6,17,7,3,0,0,1,0,0
4,6,11,7,2,1,0,0,1,0
1,6,23,6,1,1,1,0,2,0
4,4,26,9,3,1,1,0,2,1
4,6,18,7,1,1,1,1,1,0
2,5,7,8,1,0,1,0,1,0
1,3,4,6,2,0,1,0,1,0
1,3,0,7,2,0,1,1,1,0
3,6,26,9,3,1,0,0,2,0
2,2,0,11,1,1,0,1,0,0
1,9,19,9,3,0,0,1,0,1
3,6,23,9,2,0,1,0,2,1
2,9,25,6,1,0,0,1,0,1
1,2,19,12,1,1,0,1,2,1
3,4,20,11,2,1,0,1,2,0
1,1,18,6,2,1,0,1,0,1
2,5,27,12,2,1,0,1,0,0
2,5,13,11,2,1,1,0,2,1
4,9,25,8,2,1,0,1,2,0
3,3,24,6,2,0,1,1,1,1
4,5,14,12,1,1,1,1,0,0
1,3,15,8,1,1,0,0,0,1
4,2,29,9,1,1,0,1,0,1
2,8,27,10,3,0,1,1,1,0
1,3,23,9,3,0,0,1,1,0
4,4,28,6,1,0,0,1,2,0
2,1,18,12,2,0,1,0,1,1
4,5,18,7,1,1,1,1,0,1
3,6,21,6,3,0,1,1,0,0
4,8,22,8,3,1,1,1,1,1
1,1,20,10,3,1,0,1,1,0
4,3,14,11,3,1,0,1,1,1
4,7,12,6,2,0,1,0,1,1
4,9,29,12,1,0,1,1,1,0
4,8,16,6,2,1,0,0,2,1
3,6,5,11,3,1,1,0,0,0
3,7,26,11,3,1,0,1,2,0
2,8,8,7,1,1,0,0,0,0
3,8,0,9,2,1,0,0,2,1
3,3,21,8,1,1,0,1,2,1
4,2,19,8,3,0,1,1,0,1
1,7,25,8,1,1,0,0,0,0
4,1,9,9,3,1,1,0,2,0
1,6,19,12,1,0,1,0,1,1
3,3,14,6,1,0,0,1,2,0
2,7,8,10,1,1,0,1,2,1
1,2,27,10,3,1,1,0,0,0
3,6,9,12,1,0,0,1,2,1
1,3,27,12,1,1,0,1,0,1
2,6,18,11,2,0,1,1,1,0
2,7,27,12,3,0,0,0,1,1
1,5,22,12,2,1,1,0,0,0
4,2,22,11,1,1,1,0,0,1
1,9,24,7,3,1,1,0,2,1
4,8,8,11,1,1,0,1,0,1
3,8,7,8,1,0,1,0,1,1
1,1,8,6,3,1,0,0,0,0
4,2,13,7,1,1,1,1,0,0
3,8,29,12,1,0,1,0,0,1
3,5,16,11,3,1,1,1,1,1
1,6,12,9,2,1,0,1,1,0
2,3,7,9,2,0,0,0,2,1
4,2,18,11,3,0,0,0,2,1
3,1,29,7,1,1,1,1,0,1
3,8,19,7,2,0,1,0,1,1
4,3,27,11,3,1,0,0,0,0
1,7,26,9,3,1,1,1,0,1
1,4,6,11,2,0,1,0,1,0
2,9,11,10,3,1,1,0,0,0
1,4,9,10,1,0,0,0,1,1
3,9,11,8,2,1,1,0,0,0
4,7,25,10,3,0,0,1,0,1
1,2,2,9,3,0,1,0,0,0
3,1,4,8,3,1,1,1,0,1
1,6,17,7,2,0,0,1,1,1
1,5,27,8,3,0,0,0,0,0
1,3,19,8,1,0,0,1,1,0
1,6,17,10,2,0,1,1,2,1
2,3,19,12,2,1,1,0,0,1
3,8,28,9,1,1,1,1,2,1
2,4,12,11,1,1,0,1,0,0
1,6,18,6,2,0,0,0,1,0
2,6,24,7,1,1,1,0,1,1
1,7,12,9,3,0,1,1,2,1
4,3,14,11,2,1,0,0,0,1
3,9,23,8,1,1,0,0,1,1
3,7,25,10,2,1,0,1,0,1
2,4,11,8,2,1,0,0,1,1
2,9,24,8,1,1,1,1,1,1
4,2,17,10,2,1,1,0,1,1
3,8,24,11,1,0,0,1,0,1
4,6,16,8,3,1,1,1,0,1
1,1,8,12,2,0,1,0,2,1
1,3,20,11,1,1,0,1,0,0
3,1,27,11,2,1,1,1,2,1
4,5,24,12,3,1,1,1,0,1
2,5,24,10,2,0,1,1,2,0
1,8,10,12,2,1,1,0,2,1
4,7,15,12,1,1,1,0,1,1
4,8,19,11,3,1,1,1,1,0
4,7,7,6,3,0,0,1,2,0
4,8,12,7,2,1,0,0,0,0
1,9,27,8,1,0,1,1,0,0
3,3,5,7,1,1,1,0,0,1
2,5,12,7,2,0,1,1,1,1
4,4,5,6,1,0,0,1,1,0
1,5,8,7,2,0,0,1,2,1
2,5,27,9,3,0,0,1,0,1
2,7,28,6,2,0,1,1,1,1
2,6,27,10,2,1,0,0,0,0
1,7,17,10,1,0,1,0,1,1
2,6,11,8,2,1,0,0,1,1
4,2,26,12,3,1,1,0,2,0
4,9,18,12,1,0,0,0,0,1
1,3,12,9,3,1,0,0,1,0
3,6,18,6,3,1,0,1,1,0
1,3,14,9,3,0,1,1,2,0
1,7,22,11,1,1,1,0,0,1
3,2,20,6,3,0,0,0,1,0
1,1,0,10,3,0,0,0,2,1
4,6,23,7,2,1,1,1,0,0
4,3,4,9,2,1,1,0,1,0
1,3,3,8,2,0,1,0,2,1
3,5,29,9,1,0,0,1,2,1
3,5,19,12,2,1,0,0,1,0
4,8,1,6,1,0,0,1,1,1
1,7,16,10,3,1,0,0,1,1
1,8,10,11,1,1,1,0,1,0
1,4,21,8,1,1,1,0,1,1
3,5,2,8,2,0,1,0,0,0
1,1,14,8,2,1,1,0,1,0
1,7,8,9,3,1,1,0,2,0
4,8,3,11,3,1,1,0,2,1
2,4,12,9,2,1,0,0,1,1
2,9,13,6,1,1,1,1,1,0
4,9,17,7,1,0,0,1,1,1
4,4,19,8,1,0,0,1,0,0
1,1,19,8,2,1,1,0,0,1
4,4,12,7,1,1,0,0,1,0
3,3,0,10,1,0,1,1,2,1
3,9,12,12,2,1,0,1,1,1
1,1,11,9,2,0,0,1,2,0
3,6,7,8,3,0,1,1,1,1
1,7,3,11,3,1,1,0,1,0
1,2,11,11,2,0,0,1,1,0
3,8,28,6,3,1,1,1,0,0
4,2,11,9,2,1,1,1,1,1
4,4,19,12,2,1,0,1,2,0
1,3,15,8,1,0,1,1,0,1
4,9,15,7,3,0,0,0,1,0
3,9,22,11,1,1,1,0,2,0
2,2,1,11,3,0,1,1,0,0
1,8,5,11,1,0,1,0,2,0
2,8,21,6,3,0,1,1,1,1
4,9,29,6,2,1,0,0,2,0
4,7,22,9,2,1,0,0,1,0
1,9,17,8,2,0,1,1,2,0
3,4,27,8,3,1,1,0,2,1
4,5,22,6,2,0,0,1,2,1
2,7,1,7,3,0,1,1,2,1
2,4,1,8,3,0,1,0,2,1
2,9,16,7,1,1,0,1,0,1
2,4,24,7,2,0,1,0,2,0
3,9,10,12,3,0,0,0,2,1
1,3,24,11,2,1,1,1,2,0
3,7,20,8,2,1,0,1,1,1
2,4,6,12,2,1,0,1,2,0
1,9,29,7,3,1,0,0,0,0
2,1,25,12,2,1,1,1,0,0
2,1,6,9,1,0,1,0,0,1
4,9,18,12,2,1,1,1,2,0
1,3,1,8,2,1,1,1,1,0
2,3,10,8,2,1,1,0,0,1
4,1,19,12,2,1,1,0,1,1
4,6,23,12,2,1,1,0,1,0
4,2,0,10,1,0,0,1,2,0
2,4,26,8,2,1,1,0,1,1
4,2,7,12,1,1,0,0,2,0
4,8,17,6,1,1,1,1,1,0
3,4,10,12,1,0,1,0,2,1
2,4,25,12,3,0,1,1,2,1
2,4,12,11,2,0,0,0,2,0
4,6,28,6,3,1,1,1,0,0
3,2,15,7,3,1,1,1,1,0
4,9,23,11,1,0,1,1,1,1
2,6,29,8,2,0,1,0,1,0
3,4,14,8,1,1,1,1,1,0
3,6,17,9,1,0,1,0,0,1
4,6,6,12,3,0,0,0,2,1
3,1,12,9,3,0,0,1,0,1
1,5,18,8,3,0,1,0,1,1
2,8,29,10,3,0,1,1,1,0
3,6,26,11,1,0,0,1,0,1
3,7,15,7,1,0,0,1,1,0
3,5,21,12,1,0,1,1,0,0
1,6,22,12,2,0,0,0,1,1
4,7,5,11,1,1,1,0,0,0
4,4,4,12,1,1,0,1,0,0
2,5,24,12,1,1,0,1,2,1
2,3,24,6,1,0,0,1,0,1
2,8,2,11,3,1,0,0,0,0
3,2,13,9,3,0,0,1,0,1
2,2,22,12,3,0,0,0,0,1
3,8,17,9,3,1,0,1,2,1
2,2,16,7,1,1,0,0,0,0
4,3,10,6,3,1,1,0,0,1
4,1,12,7,1,1,0,0,1,0
2,8,13,12,1,1,0,1,0,1
2,5,14,12,3,1,0,1,0,1
1,4,12,12,1,1,0,1,0,0
1,6,9,6,3,0,1,1,2,1
2,6,3,6,1,0,0,0,2,0
2,5,2,6,3,1,0,1,0,1
2,8,12,8,2,0,0,0,0,0
2,5,19,12,1,1,1,0,1,1
3,9,18,6,1,0,1,0,2,1
1,2,9,8,3,0,0,1,0,0
2,3,24,6,3,1,1,0,2,0
4,2,3,10,2,0,0,0,1,1
1,3,19,9,3,0,0,1,0,0
3,3,22,10,1,0,0,0,1,1
4,2,3,11,2,1,1,1,2,0
1,6,8,6,2,0,0,0,2,0
2,6,24,12,2,1,0,1,2,0
2,7,8,8,2,0,1,0,2,1
3,6,15,7,3,0,1,1,2,0
2,1,5,12,1,0,1,0,1,0
2,4,28,11,1,1,1,0,1,1
2,2,25,8,2,1,1,0,1,1
4,7,28,6,1,0,0,1,0,1
2,1,24,10,1,1,0,1,0,0
4,9,2,8,3,1,0,1,0,0
4,7,13,10,3,0,1,0,1,1
2,6,1,8,2,0,0,0,2,0
1,7,13,7,2,0,1,1,2,0
3,8,12,6,2,1,0,0,2,1
4,8,11,12,2,0,1,0,1,0
1,4,15,9,2,1,1,1,1,1
2,4,25,9,3,0,1,1,1,1
3,8,14,11,1,0,1,0,2,0
3,4,1,6,2,0,1,0,1,0
1,1,6,6,3,1,1,0,2,0
4,6,25,12,2,0,1,0,2,0
4,9,20,8,2,0,1,0,1,1
3,9,3,10,2,0,1,1,2,0
1,4,27,12,2,0,1,0,2,1
2,6,28,12,3,1,0,1,1,0
1,6,17,6,1,0,1,1,0,0
1,4,27,10,2,0,1,0,2,1
4,2,28,9,3,0,0,1,1,1
1,3,3,12,3,0,0,1,2,0
2,4,25,11,1,0,0,1,1,0
1,4,28,11,3,1,0,0,1,0
4,8,21,9,2,1,0,1,2,0
4,9,14,6,1,0,1,0,0,1
4,6,21,8,1,0,0,1,0,0
3,2,7,6,3,1,1,1,2,0
1,1,5,7,2,0,0,0,0,0
3,5,20,10,1,1,1,1,1,1
3,5,6,8,2,1,1,1,2,1
2,2,12,11,3,1,1,1,0,1
1,1,2,8,1,1,0,1,2,0
1,2,3,8,2,1,0,0,1,0
3,7,21,8,1,0,1,1,1,1
3,3,27,8,1,1,1,0,0,0
3,1,8,7,1,1,0,1,0,1
4,9,5,11,3,0,0,1,2,1
1,9,3,8,1,0,0,1,2,1
2,4,28,9,3,1,0,0,0,0
1,6,7,9,1,0,0,1,0,1
3,2,12,10,3,0,1,1,2,0
