nivel_riesgo,tiempo_experiencia,horas_jornada,condicion_laboral,turno,clima_extremo,uso_epp,incidente_prev,grado_accidente
3,4,7,3,0,1,1,4,0
9,12,11,3,1,0,1,0,0
4,11,10,1,0,1,0,2,0
4,20,11,3,0,1,1,2,1
1,10,8,2,0,0,1,0,0
7,9,7,3,0,0,1,1,0
9,15,12,3,0,1,0,3,1
6,12,6,1,1,0,1,3,0
2,4,6,1,1,1,1,0,0
9,16,10,2,0,0,0,0,0
6,8,12,1,0,0,1,2,0
8,27,7,1,0,0,1,2,0
6,26,6,2,1,1,1,1,1
5,24,12,2,1,1,0,0,1
1,20,9,2,0,0,0,2,0
1,16,11,3,1,0,0,0,0
6,8,8,1,1,1,1,2,0
4,19,9,3,0,1,0,3,1
5,23,8,1,0,1,1,0,1
10,3,6,2,1,0,1,1,0
2,25,11,2,1,0,1,4,0
1,7,11,3,1,1,0,0,0
8,11,6,3,1,0,0,3,1
1,28,6,2,1,0,1,2,0
2,29,6,1,0,0,0,3,0
10,4,12,1,1,0,0,3,1
4,12,8,1,1,0,0,2,1
10,7,6,2,1,0,0,2,0
5,19,6,2,0,0,1,0,0
6,8,11,1,0,1,1,1,0
6,16,6,3,0,0,1,1,1
5,10,6,3,1,0,0,0,1
10,29,12,3,0,0,0,3,1
6,13,12,3,1,0,0,2,0
6,21,12,3,1,1,0,1,0
5,3,12,1,0,0,1,3,0
2,26,12,2,1,1,1,1,0
8,2,10,1,0,1,1,0,0
6,25,8,1,0,0,1,4,0
5,21,12,3,1,1,1,1,0
9,25,8,3,0,0,1,1,0
8,20,8,1,1,0,0,1,0
7,3,9,2,0,0,0,0,0
9,24,6,2,1,1,0,1,0
9,12,12,3,1,0,1,4,0
3,3,8,3,0,1,1,0,0
9,29,10,1,1,0,0,0,0
7,10,10,3,0,1,0,4,1
10,13,7,2,0,1,1,2,0
8,8,9,2,1,0,1,1,0
6,24,7,2,1,1,1,2,0
3,10,11,3,0,0,1,4,0
10,18,8,1,1,0,1,2,0
1,1,7,2,1,0,1,1,0
3,7,8,2,0,0,0,1,0
5,12,11,2,1,0,0,2,0
1,20,7,3,0,0,0,3,0
3,2,12,3,1,0,0,1,0
1,9,7,1,1,1,0,3,1
2,20,10,2,1,0,1,0,1
7,2,7,3,1,0,0,3,0
7,5,6,3,0,1,0,4,0
5,6,11,1,0,1,0,0,1
8,14,12,2,1,0,1,4,1
4,18,9,1,0,0,1,2,0
7,22,9,1,0,1,0,1,0
4,28,9,2,0,0,1,2,0
5,9,10,3,1,0,0,2,1
1,16,8,2,0,1,1,4,0
5,2,6,2,0,0,0,2,0
10,19,12,2,0,0,0,3,0
6,21,7,3,1,1,0,1,0
10,25,9,3,1,0,0,0,1
3,2,12,1,1,1,0,3,0
1,19,11,1,1,1,1,3,0
1,29,10,3,0,0,1,0,0
2,26,7,1,0,0,1,0,0
7,19,7,3,1,1,0,1,1
8,4,7,1,1,1,1,3,1
8,1,6,1,1,1,0,4,0
10,1,6,2,0,1,0,3,0
8,21,6,1,1,0,1,3,0
4,2,7,2,1,1,0,3,0
6,16,7,2,0,1,1,2,0
3,7,8,2,1,1,0,4,0
1,22,10,3,1,0,1,4,0
9,18,12,3,0,1,0,1,0
4,29,12,1,1,1,0,4,0
4,24,7,1,1,0,0,2,0
9,27,7,3,0,0,1,3,0
8,19,8,3,0,1,1,0,0
9,25,8,1,0,1,1,2,0
7,5,10,3,1,1,1,4,1
6,26,12,1,1,1,0,3,0
1,0,6,2,0,0,1,0,0
6,22,7,1,0,0,0,1,0
9,5,8,1,1,1,0,3,0
6,20,7,2,1,1,1,1,0
9,15,11,1,1,0,0,0,1
10,3,8,3,1,0,1,2,0
10,9,11,1,0,0,0,0,0
3,13,10,3,1,1,0,2,0
8,24,12,1,0,1,0,4,1
10,3,12,1,1,0,1,3,1
2,6,7,2,1,1,0,2,0
4,6,7,3,0,0,0,4,0
7,12,6,3,1,0,1,4,0
5,4,6,1,0,1,0,2,0
7,11,8,1,1,0,0,4,1
9,1,10,1,0,0,0,3,0
4,8,8,1,1,0,1,1,0
9,2,6,1,1,1,1,0,1
6,0,11,1,1,0,0,1,0
7,4,6,2,0,1,1,3,0
4,23,11,1,1,1,1,0,0
7,29,9,2,0,0,0,1,0
2,20,9,2,1,1,1,4,0
8,2,6,2,0,1,1,0,1
5,18,7,3,0,1,1,2,0
7,25,12,3,1,0,1,3,0
8,14,6,2,0,1,0,2,0
6,19,9,1,1,0,1,3,0
9,23,8,1,1,1,0,1,1
6,9,8,3,0,1,1,0,1
8,3,8,2,1,0,1,1,0
9,1,7,1,0,0,0,4,1
3,23,11,1,1,0,0,3,0
10,8,8,2,0,1,1,1,0
7,29,11,3,1,1,0,0,0
5,26,8,3,1,0,0,2,0
4,3,7,2,1,0,0,1,1
7,21,11,1,0,0,1,3,1
4,22,12,2,1,0,0,1,1
1,1,6,1,0,1,1,2,0
5,13,8,3,1,0,0,1,0
5,3,9,1,1,0,0,3,0
7,26,10,3,1,1,1,0,0
5,17,10,1,0,0,1,0,0
10,19,6,1,0,1,0,2,0
5,7,7,3,1,1,0,1,0
8,5,6,2,0,1,1,1,0
8,4,8,2,1,0,1,0,0
10,19,9,3,1,0,0,0,0
9,7,9,2,1,1,1,1,1
9,21,11,1,0,1,1,2,0
5,25,9,2,1,0,1,0,0
10,12,12,1,0,1,0,1,1
8,9,11,2,1,1,0,1,1
6,17,8,3,1,1,1,1,0
10,29,10,1,1,0,1,3,0
4,0,6,1,0,1,1,4,0
6,21,8,3,1,1,0,3,0
5,26,9,1,0,0,0,3,0
9,1,12,1,1,0,1,0,0
9,5,11,3,0,1,0,1,1
9,17,12,1,0,1,1,3,1
3,3,9,1,0,0,0,4,1
3,25,11,3,1,1,1,2,0
1,29,11,2,0,0,1,4,0
10,7,8,3,1,0,0,1,0
9,2,12,2,1,0,0,3,1
4,23,10,2,0,0,1,1,0
2,5,10,3,1,0,0,3,1
5,22,7,2,1,1,1,1,1
8,2,12,3,0,0,0,4,1
10,8,8,2,0,0,1,3,0
10,28,8,1,0,1,1,4,1
5,14,9,2,0,0,0,2,0
2,3,11,3,1,1,0,2,1
5,23,7,3,1,1,1,2,0
2,20,9,2,1,1,0,3,0
7,9,6,1,1,0,1,2,0
5,29,12,2,0,0,1,0,0
1,19,9,1,1,1,1,2,0
7,27,10,3,0,0,1,1,0
8,10,10,3,1,0,0,1,0
4,14,8,2,1,0,0,3,0
8,20,11,2,1,0,1,3,0
1,24,7,2,0,1,1,1,0
9,24,11,3,1,0,1,4,0
3,18,6,3,1,0,0,4,0
5,1,9,1,0,1,0,4,0
5,7,10,2,0,0,0,3,0
8,10,6,2,0,0,1,0,0
1,2,12,1,1,0,0,0,1
5,7,7,1,0,1,0,1,0
6,4,12,3,1,0,1,0,0
1,10,8,3,1,0,1,0,1
1,16,10,1,1,0,1,1,1
4,0,8,3,0,0,0,3,1
10,28,11,1,1,1,1,1,0
1,11,11,3,1,1,0,4,1
8,12,7,2,1,1,0,4,1
3,4,7,2,0,1,1,0,1
4,17,6,2,1,1,1,0,0
10,23,9,2,1,1,0,3,1
5,23,8,2,1,0,1,3,1
4,25,11,1,0,1,1,4,1
5,0,7,1,0,0,0,1,1
7,7,7,1,0,0,1,2,0
1,4,6,2,1,1,0,1,0
5,0,12,2,1,1,1,0,1
6,22,6,3,1,0,1,3,0
3,8,8,1,1,0,0,0,0
9,9,9,2,1,0,0,0,0
1,4,11,3,1,0,1,1,0
5,29,7,1,1,1,0,4,1
3,27,12,1,0,1,0,3,0
7,7,9,2,0,0,1,3,0
7,15,8,2,0,1,0,0,0
8,21,9,2,0,1,0,3,0
4,17,9,2,0,1,1,0,0
8,27,12,2,1,0,0,1,0
2,19,7,3,0,0,0,1,0
2,12,6,3,0,1,0,0,1
4,6,6,3,1,1,0,3,0
3,22,7,3,0,0,0,4,0
6,23,11,2,1,0,0,2,0
8,25,11,3,1,1,0,3,1
9,26,6,1,0,0,1,4,1
6,23,12,3,1,0,0,3,1
5,29,7,1,1,0,1,3,1
8,24,9,1,0,1,0,3,0
9,28,9,1,1,1,1,4,0
5,16,12,1,0,0,0,3,0
8,28,12,1,1,1,0,1,0
1,16,12,3,0,1,1,1,0
4,2,10,1,1,0,1,4,0
2,20,6,2,1,0,0,0,0
8,29,7,1,1,1,1,1,0
5,2,10,3,1,0,1,4,0
5,29,10,2,1,0,1,1,0
7,11,6,2,0,0,1,2,0
